<==========  BEGIN @ 29-Nov-2012 09:45:06, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.979964	0.890515 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 09:45:12, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 09:45:13, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.979925	0.890293 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980571	0.890799 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980637	0.891304 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979858	0.888777 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980065	0.892315 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979872	0.889282 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98007	0.889788 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980259	0.890293 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980033	0.890293 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980334	0.890799 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 09:45:19, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 09:45:19, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.980659	0.887538 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980574	0.891591 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980722	0.892097 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979905	0.890071 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980227	0.889564 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979996	0.889564 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980824	0.892097 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980701	0.892604 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980286	0.891084 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980929	0.891591 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 09:45:26, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 09:45:26, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.98068	0.891878 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980716	0.891878 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
